user_id,group,converted,device,country,traffic_source,timestamp
1,A,0,Desktop,Germany,Referral,2025-09-18 22:08:32.363205
2,B,1,Desktop,Germany,Social,2025-09-18 22:09:32.363205
3,A,0,Mobile,USA,Social,2025-09-18 22:10:32.363205
4,A,0,Desktop,India,Paid,2025-09-18 22:11:32.363205
5,A,0,Mobile,India,Organic,2025-09-18 22:12:32.363205
6,B,0,Mobile,India,Social,2025-09-18 22:13:32.363205
7,A,0,Desktop,India,Paid,2025-09-18 22:14:32.363205
8,A,0,Mobile,USA,Referral,2025-09-18 22:15:32.363205
9,A,0,Desktop,USA,Referral,2025-09-18 22:16:32.363205
10,B,0,Desktop,USA,Referral,2025-09-18 22:17:32.363205
11,A,0,Mobile,USA,Referral,2025-09-18 22:18:32.363205
12,A,0,Desktop,India,Paid,2025-09-18 22:19:32.363205
13,A,0,Mobile,Germany,Organic,2025-09-18 22:20:32.363205
14,A,0,Mobile,UK,Paid,2025-09-18 22:21:32.363205
15,B,0,Mobile,USA,Organic,2025-09-18 22:22:32.363205
16,A,0,Desktop,Germany,Referral,2025-09-18 22:23:32.363205
17,B,0,Mobile,USA,Social,2025-09-18 22:24:32.363205
18,B,0,Mobile,India,Social,2025-09-18 22:25:32.363205
19,B,0,Mobile,India,Social,2025-09-18 22:26:32.363205
20,A,0,Desktop,Germany,Organic,2025-09-18 22:27:32.363205
21,B,1,Mobile,Germany,Referral,2025-09-18 22:28:32.363205
22,A,0,Mobile,Germany,Paid,2025-09-18 22:29:32.363205
23,B,0,Mobile,India,Social,2025-09-18 22:30:32.363205
24,B,0,Mobile,India,Organic,2025-09-18 22:31:32.363205
25,B,1,Desktop,UK,Social,2025-09-18 22:32:32.363205
26,B,0,Mobile,Germany,Paid,2025-09-18 22:33:32.363205
27,B,1,Mobile,UK,Referral,2025-09-18 22:34:32.363205
28,B,1,Desktop,USA,Paid,2025-09-18 22:35:32.363205
29,B,0,Mobile,UK,Referral,2025-09-18 22:36:32.363205
30,B,0,Desktop,USA,Referral,2025-09-18 22:37:32.363205
31,A,0,Mobile,USA,Referral,2025-09-18 22:38:32.363205
32,A,0,Desktop,UK,Social,2025-09-18 22:39:32.363205
33,B,1,Mobile,Germany,Paid,2025-09-18 22:40:32.363205
34,B,0,Mobile,USA,Social,2025-09-18 22:41:32.363205
35,B,1,Desktop,Germany,Paid,2025-09-18 22:42:32.363205
36,A,0,Desktop,India,Organic,2025-09-18 22:43:32.363205
37,B,0,Desktop,USA,Organic,2025-09-18 22:44:32.363205
38,A,0,Mobile,India,Paid,2025-09-18 22:45:32.363205
39,A,0,Desktop,UK,Paid,2025-09-18 22:46:32.363205
40,A,1,Desktop,Germany,Paid,2025-09-18 22:47:32.363205
41,A,1,Mobile,UK,Paid,2025-09-18 22:48:32.363205
42,A,0,Desktop,USA,Referral,2025-09-18 22:49:32.363205
43,B,0,Desktop,India,Social,2025-09-18 22:50:32.363205
44,B,0,Mobile,USA,Referral,2025-09-18 22:51:32.363205
45,B,0,Mobile,UK,Social,2025-09-18 22:52:32.363205
46,B,1,Mobile,Germany,Social,2025-09-18 22:53:32.363205
47,B,0,Mobile,Germany,Social,2025-09-18 22:54:32.363205
48,A,0,Mobile,USA,Referral,2025-09-18 22:55:32.363205
49,B,0,Mobile,USA,Paid,2025-09-18 22:56:32.363205
50,B,0,Mobile,India,Referral,2025-09-18 22:57:32.363205
51,A,0,Mobile,UK,Referral,2025-09-18 22:58:32.363205
52,B,1,Mobile,USA,Social,2025-09-18 22:59:32.363205
53,A,0,Desktop,India,Organic,2025-09-18 23:00:32.363205
54,B,0,Desktop,USA,Organic,2025-09-18 23:01:32.363205
55,A,0,Mobile,Germany,Referral,2025-09-18 23:02:32.363205
56,B,0,Desktop,India,Social,2025-09-18 23:03:32.363205
57,B,0,Mobile,India,Referral,2025-09-18 23:04:32.363205
58,A,0,Mobile,USA,Referral,2025-09-18 23:05:32.363205
59,A,0,Mobile,UK,Paid,2025-09-18 23:06:32.363205
60,A,0,Mobile,Germany,Social,2025-09-18 23:07:32.363205
61,A,0,Desktop,UK,Organic,2025-09-18 23:08:32.363205
62,A,0,Desktop,India,Organic,2025-09-18 23:09:32.363205
63,A,0,Mobile,UK,Organic,2025-09-18 23:10:32.363205
64,A,0,Mobile,India,Referral,2025-09-18 23:11:32.363205
65,A,0,Mobile,UK,Social,2025-09-18 23:12:32.363205
